# XDI/1.0 Demeter/0.9.26
# Demeter.output_filetype: multicolumn normalized mu(E)
# Element.symbol: O
# Element.edge: K
# Column.1: energy eV
# Column.2: 69_ZnO__ref__angle=0_deg__O-edge__Mon_SR_Io.dat
# Column.3: 70_ZnO__ref__angle=45_deg__O-edge__Mon_SR_Io.dat
# Column.4: 71_ZnO__ref__angle=75_deg__O-edge__Mon_SR_Io.dat
#------------------------
#  energy  69_ZnO__ref__angle=0_deg__O-edge__Mon_SR_Io.dat  70_ZnO__ref__angle=45_deg__O-edge__Mon_SR_Io.dat  71_ZnO__ref__angle=75_deg__O-edge__Mon_SR_Io.dat
  541.19950        1.2318864        1.2553004        1.2643175
  541.30010        1.2329067        1.2357323        1.2323151
  541.39960        1.2323948        1.2111945        1.1995136
  541.50030        1.2299210        1.1897346        1.1664830
  541.59990        1.2249985        1.1690999        1.1358982
  541.69960        1.2152399        1.1442620        1.1017682
  541.80030        1.2054855        1.1176765        1.0691408
  541.90000        1.1911823        1.0908588        1.0337204
  542.00050        1.1798458        1.0696522        1.0028537
  542.10030        1.1689648        1.0481718       0.96981040
  542.20010        1.1608382        1.0299440       0.93996001
  542.30070        1.1581423        1.0130400       0.91359755
  542.40050        1.1655587        1.0029816       0.89123547
  542.49930        1.1789637        1.0000086       0.87077239
  542.60000        1.1975859        1.0001381       0.85349667
  542.69990        1.2242326        1.0064914       0.84023418
  542.79960        1.2531877        1.0108600       0.82967837
  542.90040        1.2847768        1.0240086       0.82045338
  542.99930        1.3111877        1.0340268       0.81453690
  543.10020        1.3341905        1.0391460       0.80742052
  543.19990        1.3479303        1.0451853       0.80366645
  543.30080        1.3521948        1.0436302       0.80128049
  543.40070        1.3459496        1.0378240       0.80004739
  543.50050        1.3297705        1.0272038       0.79514729
  543.60040        1.3010513        1.0159533       0.79440409
  543.70040        1.2651818       0.99848355       0.79372149
  543.80030        1.2238937       0.97608628       0.79163462
  543.90030        1.1790733       0.95168287       0.79008537
  544.00030        1.1290848       0.92585640       0.78743140
  544.10040        1.0793054       0.90373106       0.78761436
  544.20020        1.0306639       0.88467941       0.78899989
  544.30020       0.98660058       0.86759734       0.78827871
  544.39930       0.94670424       0.84932921       0.79001977
  544.50020       0.91025378       0.83333655       0.79235229
  544.59940       0.87968531       0.82247671       0.79815147
  544.70030       0.85588932       0.81292242       0.80349322
  544.80030       0.83588825       0.80952821       0.81271508
  544.89950       0.82122192       0.80744178       0.82111834
  545.00060       0.81086288       0.81051924       0.82946810
  545.10060       0.80037161       0.81168204       0.84016409
  545.19990       0.79118875       0.81508144       0.85445165
  545.30000       0.78136336       0.81837511       0.86773830
  545.40010       0.77321700       0.82265272       0.88113167
  545.50030       0.76284280       0.82682998       0.89101978
  545.60040       0.75214436       0.81921318       0.90209099
  545.69960       0.74196049       0.82433563       0.91437281
  545.79980       0.72995431       0.82304782       0.92325437
  545.90010       0.71838544       0.82016361       0.92786275
  546.00010       0.70492700       0.81570058       0.93138545
  546.10040       0.69088266       0.81103872       0.93249707
  546.19970       0.67811580       0.80433733       0.93140113
  546.30080       0.66279812       0.79717319       0.92816621
  546.40010       0.65202815       0.78814151       0.92404497
  546.49950       0.64094571       0.78069700       0.91895954
  546.59970       0.63076202       0.77590351       0.91370645
  546.70020       0.62355071       0.77006861       0.91105501
  546.80040       0.61599121       0.76636329       0.90862550
  546.90060       0.61278036       0.76428654       0.90577156
  547.00010       0.61187714       0.76151510       0.90319369
  547.10040       0.61218451       0.76031666       0.90243737
  547.19970       0.61358078       0.76199965       0.90204654
  547.30010       0.61831409       0.76623169       0.90020506
  547.40050       0.62288597       0.76908052       0.89972392
  547.50090       0.63005731       0.76979718       0.89795624
  547.60030       0.63646326       0.76754962       0.89419593
  547.70080       0.64499317       0.77381420       0.89299460
  547.80020       0.65458124       0.77967540       0.88875931
  547.90070       0.66099929       0.77787099       0.88542669
