energy	ZnO-0deg	ZnO-45deg	ZnO-75deg
543.4007	3.5539932	3.1899878	2.79033497
543.5005	3.5328831	3.17546185	2.78373011
543.6004	3.4974075	3.16049566	2.78145977
543.7004	3.4532885	3.13802649	2.77902216
543.8003	3.4034956	3.11043478	2.77575172
543.9003	3.3491333	3.08009795	2.77264357
544.0003	3.2878609	3.04728345	2.76770436
544.1004	3.22712914	3.01904197	2.76576681
544.2002	3.16869301	2.99529192	2.76583168
544.3002	3.11457612	2.97282174	2.76289357
544.3993	3.06601701	2.9496243	2.7629615
544.5002	3.02102954	2.92861324	2.7631724
544.5994	2.98308481	2.9137272	2.76690843
544.7003	2.95318477	2.90047802	2.77030337
544.8003	2.92708423	2.89374466	2.77687072
544.8995	2.90789941	2.88921099	2.78327519
545.0006	2.89413723	2.89107253	2.79000458
545.1006	2.88025656	2.89074361	2.79905938
545.1999	2.86724284	2.89233179	2.81096667
545.3	2.85413254	2.8944644	2.82253681
545.4001	2.84321318	2.89797813	2.83444107
545.5003	2.82945416	2.90112567	2.84267544
545.6004	2.81581943	2.89109715	2.85257814
545.6996	2.80194115	2.89498167	2.86279513
545.7998	2.78707148	2.89261581	2.87086313
545.9001	2.77223482	2.88789316	2.87426114
546.0001	2.75588377	2.882074	2.87732725
546.1004	2.73854363	2.87570429	2.87772315
546.1997	2.7226893	2.86696025	2.87595548
546.3008	2.70485235	2.85875653	2.87317483
546.4001	2.69159022	2.84758873	2.86873826
546.4995	2.678833	2.83920986	2.8643017
546.5997	2.6668012	2.83357252	2.85936116
546.7002	2.65834813	2.8268356	2.85708774
546.8004	2.64989634	2.82302817	2.85548297
546.9006	2.64613555	2.82068547	2.85302804
547.0001	2.64546402	2.81794844	2.85125949
547.1004	2.64640268	2.81725231	2.85148901
547.1997	2.64906532	2.82040445	2.85255662
547.3001	2.65542713	2.82629709	2.85195153
547.4005	2.66191247	2.83090784	2.85301434
547.5009	2.67123738	2.83277346	2.85255643
547.6003	2.67982579	2.83132539	2.85028781
547.7008	2.69153024	2.84051216	2.8511838
547.8002	2.70357616	2.84824033	2.84808102
547.9007	2.71277781	2.84790935	2.84680815
548.0002	2.72593429	2.85325707	2.84604016
548.0997	2.73872056	2.85842246	2.84624118
548.2001	2.75323123	2.86649406	2.84747082
548.3007	2.76886705	2.87073861	2.84986743
548.4003	2.78523393	2.88176141	2.8527689
548.5007	2.80542512	2.89882038	2.85766891
548.6004	2.82364368	2.91386968	2.86524041
548.7008	2.84840338	2.93074581	2.87479488
548.7995	2.87168844	2.95035712	2.88704212
548.9	2.8996889	2.97583781	2.90178403
549.0006	2.92691847	2.99912088	2.91936123
549.1003	2.95760905	3.02973121	2.93911076
549.1999	2.98607774	3.05448413	2.95936169
549.3005	3.01627075	3.08307611	2.97994421
549.4001	3.04325755	3.10982163	2.99986238
549.5008	3.0684244	3.128712	3.01844107
549.6005	3.09442432	3.15035311	3.03518894
549.7001	3.11400372	3.16778437	3.04876785
549.7998	3.13382939	3.18576465	3.06534889
549.9006	3.14932856	3.20337261	3.07741602
550.0004	3.16409122	3.21803809	3.09149501
550.2497	3.19359149	3.2533786	3.12327326
550.5001	3.22413665	3.2978666	3.16088638
550.7498	3.2604888	3.3480342	3.20717751
551.0002	3.3047412	3.4005782	3.2573151
551.2499	3.3545542	3.4556891	3.3007723
551.5007	3.4088564	3.5075259	3.3407212
551.7497	3.4660836	3.5520245	3.3720021
552.0005	3.5268858	3.5919359	3.3915958
552.2495	3.5865834	3.6188578	3.4020214
552.4996	3.6414583	3.6413793	3.4021355
552.7498	3.6887647	3.6547527	3.394369
552.9999	3.7259443	3.6585999	3.381097
553.2502	3.761185	3.6629951	3.3663226
553.5006	3.7928459	3.6635445	3.3487111
553.7501	3.8219141	3.6673942	3.3351099
554.0006	3.8593786	3.6778251	3.3251728
554.2502	3.9049781	3.6968727	3.3235828
554.5	3.9576398	3.7217787	3.3279989
554.7499	4.0081993	3.7488813	3.3400903
554.9997	4.0494986	3.7796468	3.3562735
555.2497	4.0769609	3.8104112	3.3772963
555.5006	4.0871983	3.8309708	3.400564
555.7506	4.0813138	3.8421431	3.4243361
556.0008	4.0634485	3.8534983	3.4521128
556.2501	4.0373126	3.8655899	3.4813945
556.5004	4.0031436	3.8699856	3.5142137
556.7508	3.9625014	3.873669	3.5501676
557.0003	3.9195633	3.8764207	3.5864596
557.2499	3.8706979	3.8786228	3.6195803
557.5006	3.8187364	3.8786217	3.6486909
557.7503	3.7686353	3.8723996	3.6736701
558.0009	3.7205948	3.8599402	3.6912677
558.2499	3.6734585	3.8430999	3.6981916
558.4998	3.6284168	3.8176468	3.6925948
558.7507	3.5855921	3.7802854	3.6758122
558.9999	3.5464836	3.7432989	3.650452
559.25	3.5116195	3.7035606	3.6145722
559.5003	3.4837459	3.6594513	3.5784316
559.7505	3.4589574	3.6165972	3.5347815
560	3.4406002	3.5790576	3.4956399
560.2503	3.4269314	3.5482906	3.4584977
560.4999	3.4194449	3.5244862	3.4248827
560.7496	3.4154896	3.499218	3.3967541
561.0003	3.4060193	3.4759564	3.3704572
561.251	3.3996371	3.4552592	3.3469979
561.4998	3.3899259	3.4354873	3.3253825
561.7508	3.3815668	3.4157042	3.3044367
561.9996	3.3679487	3.3932064	3.2834882
562.2498	3.352796	3.3728769	3.263535
562.4999	3.3352996	3.3505331	3.24291452
562.7501	3.3190345	3.3298374	3.22546479
563.0005	3.30586	3.3126207	3.20901612
563.2507	3.2930173	3.2974197	3.19506353
563.5003	3.2814499	3.2862317	3.18779792
563.7506	3.2709919	3.2812874	3.18219852
564.0003	3.2637473	3.2735986	3.17994027
564.2509	3.258355	3.2726823	3.18201761
564.4998	3.2572931	3.2833148	3.18646092
564.7504	3.2577185	3.2902757	3.19588403
565.0005	3.2582586	3.2961402	3.20580936
565.2504	3.2618876	3.3018218	3.21773896
565.5004	3.2630457	3.309152	3.22866666
565.7495	3.2661834	3.3210663	3.23744086
565.9996	3.2669009	3.3299413	3.24753394
566.2499	3.2710229	3.3358848	3.2574593
566.5003	3.2777412	3.3433963	3.265214
566.7506	3.2814913	3.3443135	3.2709658
567.001	3.2867252	3.3498102	3.274881
567.2506	3.2940269	3.3573258	3.2749658
567.5002	3.3005882	3.3595309	3.2730411
567.7509	3.3077965	3.3554998	3.2681073
568.0006	3.3171109	3.3542219	3.2598385
568.2505	3.3238313	3.3494625	3.24939893
568.5005	3.3298074	3.3514803	3.24130015
568.7504	3.33547	3.34728	3.23102655
569.0005	3.3389752	3.3419695	3.22192129
569.2496	3.3418672	3.3353818	3.21365503
569.5008	3.3416588	3.3309819	3.20571327
569.7499	3.3422032	3.3249432	3.19979869
570.0004	3.3416872	3.3259399	3.19503213
570.9994	3.3355725	3.3170598	3.18716516
571.9997	3.3235185	3.3064444	3.18830844
573.0002	3.3066457	3.3049886	3.18978498
574.0007	3.2703681	3.2720193	3.17341842
575.0003	3.16941022	3.16871061	3.08506818
576.0002	3.07603656	3.07381204	2.99154017
577	3.03370576	3.01794149	2.94159259
578	3.19480176	3.17479688	3.08048332
579	3.3539597	3.3276237	3.22940607
580.0005	3.4312618	3.404777	3.2973414
580.9998	3.4596288	3.4304465	3.3245386
582.0004	3.4554828	3.4425501	3.3351261
583.0009	3.4244599	3.4269954	3.3375324
583.9995	3.3630942	3.3885341	3.3161407
585.0003	3.3275558	3.3771822	3.3094342
586.0001	3.3980673	3.4561755	3.395745
587	3.4549742	3.5129953	3.4493456
588.001	3.5066866	3.5540525	3.4934053
589	3.4820303	3.5141218	3.4536414
590.0003	3.4221382	3.4488951	3.3938319
591.0004	3.367563	3.3822033	3.3392386
592.0006	3.3120389	3.3340271	3.3014714
593.0009	3.277731	3.2992188	3.2807383
594.0003	3.2587576	3.2820091	3.2693615
594.9995	3.2568457	3.2721307	3.2564018
595.9999	3.2519909	3.2629739	3.24410413
597.0004	3.2550177	3.2518059	3.23489364
598	3.2512479	3.24980618	3.23002936
599.0005	3.2567451	3.24798467	3.2318414
599.9998	3.2618448	3.2535005	3.23950932
600.9995	3.2708974	3.2654394	3.2523492
602	3.2835668	3.2782809	3.2591722
602.9995	3.2899349	3.2799475	3.2638285
604	3.283319	3.2768431	3.2644932
605.0007	3.2731775	3.2709895	3.261628
606.0002	3.2678011	3.2614752	3.2560959
606.9999	3.2630414	3.2603917	3.259583
608.0004	3.2629768	3.2613203	3.262231
608.9999	3.2679425	3.2685004	3.269254
609.9993	3.2710968	3.2718176	3.2765847
610.9999	3.2788217	3.2817276	3.284912
612.0004	3.2799922	3.28229	3.2900657
612.9997	3.2856651	3.2954046	3.2989175
614.0012	3.2899228	3.295494	3.3067408
614.9994	3.2986475	3.3030338	3.3112368
616.0008	3.3076075	3.3136735	3.3193942
616.9999	3.3138545	3.3105768	3.3230627
618.0001	3.3278219	3.3203462	3.324711
619.0005	3.3364143	3.3262257	3.3261907
619.9993	3.3447644	3.3284469	3.3285134
621.0005	3.3507567	3.3332222	3.3306584
621.9993	3.3533779	3.3303345	3.3311975
623.0004	3.3493561	3.3308944	3.3301689
623.9999	3.3422463	3.3155131	3.3264743
625.0009	3.3270945	3.3041572	3.3160901
625.9993	3.3061224	3.288231	3.3055715
627.001	3.2801887	3.2669689	3.2933468
628.0005	3.2541586	3.24755354	3.2864777
628.9997	3.22986319	3.2255729	3.2811138
629.9999	3.2063039	3.21293716	3.2695634
631.0002	3.18661355	3.19260099	3.2600215
631.9991	3.17270592	3.1742953	3.24563655
633.0004	3.15965472	3.15927047	3.23257714
634	3.15056886	3.14150368	3.21568293
635.0009	3.14040945	3.13014777	3.19996643
636.0005	3.12637599	3.11485813	3.1845751
637	3.11147627	3.09003362	3.16834866
637.9992	3.09199875	3.07630244	3.14844813
639.0006	3.07301002	3.04715813	3.12695788
639.9997	3.04840791	3.02389308	3.10798292
640.9996	3.03053793	3.00045571	3.08874668
642.0005	3.01117941	2.98029729	3.0715113
643	2.99615344	2.95849594	3.05712232
643.9997	2.98515977	2.95227979	3.04994797
645	2.98064659	2.94524408	3.04892378
646.0006	2.97501636	2.94224141	3.05140729
647.0006	2.98138575	2.94665917	3.05523038
648.0005	2.98380091	2.95437863	3.06357491
649.0003	2.9929964	2.96118138	3.07475241
649.9996	3.00369877	2.97054644	3.08225578
