#  energy  83_YbZnO__5e14__angle=0_deg__O-edge__Mon_SR_Io.dat  84_YbZnO__5e14__angle=45_deg__O-edge__Mon_SR_Io.dat  85_YbZnO__5e14__angle=75_deg__O-edge__Mon_SR_Io.dat
  546.19970       0.73522122       0.84044739       0.94626485
  546.30080       0.72120851       0.83232172       0.93926805
  546.40010       0.71044964       0.82511781       0.93572603
  546.49950       0.69784330       0.81744471       0.93145114
  546.59970       0.68994237       0.80918885       0.92590527
  546.70020       0.68379158       0.80180259       0.92239347
  546.80040       0.67832079       0.79743257       0.91734753
  546.90060       0.67518971       0.79442841       0.91292618
  547.00010       0.67308321       0.79357303       0.91166730
  547.10040       0.67172264       0.79233402       0.91017022
  547.19970       0.67135449       0.79207717       0.90803449
  547.30010       0.67604022       0.79203851       0.90739765
  547.40050       0.67874040       0.79106783       0.90464153
  547.50090       0.68190742       0.79129089       0.90321497
  547.60030       0.68609931       0.79175726       0.90127490
  547.70080       0.69171879       0.79106529       0.89545848
  547.80020       0.69855458       0.79441801       0.89353054
  547.90070       0.70732226       0.79575814       0.89082771
  548.00020       0.71480646       0.79962549       0.88855382
  548.09970       0.72438271       0.80098543       0.88266464
  548.20010       0.73242813       0.80718174       0.88296621
  548.30070       0.74134295       0.81223085       0.88179277
  548.40030       0.75113431       0.81612997       0.88147861
  548.50070       0.76166905       0.82405602       0.88317255
  548.60040       0.77265517       0.83238240       0.88529415
  548.70080       0.78897533       0.84260359       0.89291071
  548.79950       0.80504002       0.85513701       0.89933893
  548.90000       0.82101884       0.86992654       0.90885030
  549.00060       0.83650541       0.88417270       0.91884891
  549.10030       0.85408982       0.89757849       0.93087331
  549.19990       0.87118265       0.91056521       0.94242093
  549.30050       0.88811763       0.92577221       0.95577816
  549.40010       0.90539058       0.94207659       0.97015364
  549.50080       0.92158495       0.95531207       0.97993682
  549.60050       0.93469777       0.96629799       0.99058225
  549.70010       0.94452188       0.97919317       0.99964474
  549.79980       0.95298306       0.98923601        1.0072825
  549.90060       0.96050902       0.99485752        1.0132791
  550.00040       0.96459680        1.0021529        1.0225451
  550.24970       0.97750183        1.0198562        1.0401128
  550.50010       0.99114561        1.0383004        1.0604601
  550.74980        1.0100834        1.0623479        1.0901724
  551.00020        1.0327168        1.0919024        1.1186993
  551.24990        1.0606770        1.1200682        1.1461755
  551.50070        1.0901940        1.1465214        1.1681567
  551.74970        1.1203772        1.1720092        1.1834237
  552.00050        1.1561050        1.1928823        1.1935576
  552.24950        1.1877940        1.2055601        1.1944148
  552.49960        1.2174693        1.2120728        1.1893046
  552.74980        1.2403295        1.2171127        1.1759881
  552.99990        1.2589788        1.2146693        1.1600666
  553.25020        1.2770987        1.2182444        1.1441189
  553.50060        1.2927600        1.2123847        1.1224493
  553.75010        1.3086589        1.2089464        1.1068869
  554.00060        1.3297541        1.2128507        1.0953453
  554.25020        1.3552013        1.2245854        1.0910595
  554.50000        1.3842216        1.2387989        1.0915504
  554.74990        1.4119616        1.2543197        1.0959994
  554.99970        1.4297818        1.2674268        1.1062122
  555.24970        1.4428606        1.2845403        1.1191256
  555.50060        1.4442212        1.2944696        1.1317442
  555.75060        1.4366213        1.2947781        1.1453397
  556.00080        1.4209208        1.2974229        1.1611613
  556.25010        1.3999169        1.2984962        1.1813410
  556.50040        1.3769565        1.3000785        1.2013231
  556.75080        1.3498170        1.2988438        1.2239021
  557.00030        1.3187174        1.3007979        1.2479435
  557.24990        1.2872393        1.2980293        1.2696674
  557.50060        1.2560932        1.2941865        1.2904491
  557.75030        1.2252692        1.2890691        1.3091036
  558.00090        1.1920019        1.2806675        1.3197641
  558.24990        1.1652827        1.2692628        1.3258673
  558.49980        1.1366912        1.2533174        1.3204628
  558.75070        1.1122310        1.2344600        1.3116998
  558.99990        1.0875483        1.2078568        1.2910626
  559.25000        1.0693247        1.1831128        1.2676315
  559.50030        1.0520814        1.1569967        1.2416836
